,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
35,2017-11-21,256.4177045506591,250.6166062128171,278.35178849958004,256.4177045506591,256.4177045506591,7.954969998959819,7.954969998959819,7.954969998959819,-0.17113078709517823,-0.17113078709517823,-0.17113078709517823,8.126100786054996,8.126100786054996,8.126100786054996,0.0,0.0,0.0,264.3726745496189
36,2017-11-22,256.5424587544626,250.47058088555755,278.3988425398451,256.5424587544626,256.5424587544626,8.171804614223078,8.171804614223078,8.171804614223078,-0.19612461999161548,-0.19612461999161548,-0.19612461999161548,8.367929234214692,8.367929234214692,8.367929234214692,0.0,0.0,0.0,264.7142633686857
37,2017-11-24,256.79196716206957,250.5493798172551,278.8056484818234,256.79196716206957,256.79196716206957,8.46053616801472,8.46053616801472,8.46053616801472,-0.3087343214377976,-0.3087343214377976,-0.3087343214377976,8.769270489452516,8.769270489452516,8.769270489452516,0.0,0.0,0.0,265.25250333008427
38,2017-11-27,257.16622977348004,250.79940269321227,279.424347395642,257.16622977348004,257.16622977348004,8.695136124766485,8.695136124766485,8.695136124766485,-0.4463827780987097,-0.4463827780987097,-0.4463827780987097,9.141518902865196,9.141518902865196,9.141518902865196,0.0,0.0,0.0,265.8613658982465
39,2017-11-28,257.29098397728353,252.29226861151872,279.8075926244074,257.29098397728353,257.29098397728353,9.030286518651353,9.030286518651353,9.030286518651353,-0.17113078709479662,-0.17113078709479662,-0.17113078709479662,9.20141730574615,9.20141730574615,9.20141730574615,0.0,0.0,0.0,266.32127049593487
40,2017-11-29,257.415738181087,251.44442327838422,280.04977561972356,257.415738181087,257.415738181087,9.033559246571516,9.033559246571516,9.033559246571516,-0.19612461999158848,-0.19612461999158848,-0.19612461999158848,9.229683866563104,9.229683866563104,9.229683866563104,0.0,0.0,0.0,266.44929742765856
41,2017-11-30,257.5404923858642,253.04133954232793,280.53129819203514,257.5404923858642,257.5404923858642,8.970230435560428,8.970230435560428,8.970230435560428,-0.2572979451217342,-0.2572979451217342,-0.2572979451217342,9.22752838068216,9.22752838068216,9.22752838068216,0.0,0.0,0.0,266.5107228214246
42,2017-12-01,257.66524659064135,252.5960033629308,280.995414587204,257.66524659064135,257.66524659064135,8.888061494447086,8.888061494447086,8.888061494447086,-0.3087343214373845,-0.3087343214373845,-0.3087343214373845,9.19679581588447,9.19679581588447,9.19679581588447,0.0,0.0,0.0,266.5533080850884
43,2017-12-04,258.03950920497283,252.55088998843823,281.39971657364526,258.03950920497283,258.03950920497283,8.514381276618106,8.514381276618106,8.514381276618106,-0.4463827780985895,-0.4463827780985895,-0.4463827780985895,8.960764054716694,8.960764054716694,8.960764054716694,0.0,0.0,0.0,266.55389048159094
44,2017-12-05,258.16426340975,252.43988572447802,281.30801189264554,258.16426340975,258.16426340975,8.675016880365076,8.675016880365076,8.675016880365076,-0.1711307870944149,-0.1711307870944149,-0.1711307870944149,8.84614766745949,8.84614766745949,8.84614766745949,0.0,0.0,0.0,266.8392802901151
45,2017-12-06,258.2890176145271,252.41555469833384,280.6177235985307,258.2890176145271,258.2890176145271,8.524635078127,8.524635078127,8.524635078127,-0.19612461999144684,-0.19612461999144684,-0.19612461999144684,8.720759698118448,8.720759698118448,8.720759698118448,0.0,0.0,0.0,266.8136526926541
46,2017-12-07,258.41377181930426,251.48721785080494,280.9242727176811,258.41377181930426,258.41377181930426,8.332177156324576,8.332177156324576,8.332177156324576,-0.2572979451221997,-0.2572979451221997,-0.2572979451221997,8.589475101446777,8.589475101446777,8.589475101446777,0.0,0.0,0.0,266.74594897562883
47,2017-12-08,258.5385260240814,252.50534773993755,280.6547139178015,258.5385260240814,258.5385260240814,8.148675280025067,8.148675280025067,8.148675280025067,-0.3087343214377028,-0.3087343214377028,-0.3087343214377028,8.457409601462768,8.457409601462768,8.457409601462768,0.0,0.0,0.0,266.6872013041065
48,2017-12-11,258.9127886384129,251.91972962533814,281.33577130749916,258.9127886384129,258.9127886384129,7.6626471802784915,7.6626471802784915,7.6626471802784915,-0.44638277809793514,-0.44638277809793514,-0.44638277809793514,8.109029958376427,8.109029958376427,8.109029958376427,0.0,0.0,0.0,266.5754358186914
49,2017-12-12,259.03754284319007,252.17611456155183,280.95575949413967,259.03754284319007,259.03754284319007,7.854856412188341,7.854856412188341,7.854856412188341,-0.1711307870949221,-0.1711307870949221,-0.1711307870949221,8.025987199283264,8.025987199283264,8.025987199283264,0.0,0.0,0.0,266.8923992553784
50,2017-12-13,259.16229704796723,252.76297817032219,281.2113520467377,259.16229704796723,259.16229704796723,7.771346123009225,7.771346123009225,7.771346123009225,-0.19612461999160669,-0.19612461999160669,-0.19612461999160669,7.967470743000831,7.967470743000831,7.967470743000831,0.0,0.0,0.0,266.93364317097644
51,2017-12-14,259.28705125274445,253.2345264838613,281.35244126492023,259.28705125274445,259.28705125274445,7.680380099938332,7.680380099938332,7.680380099938332,-0.25729794512266513,-0.25729794512266513,-0.25729794512266513,7.937678045060998,7.937678045060998,7.937678045060998,0.0,0.0,0.0,266.96743135268275
52,2017-12-15,259.4118054575216,253.96860361539657,280.6454732514417,259.4118054575216,259.4118054575216,7.631527285560332,7.631527285560332,7.631527285560332,-0.3087343214380211,-0.3087343214380211,-0.3087343214380211,7.940261606998353,7.940261606998353,7.940261606998353,0.0,0.0,0.0,267.0433327430819
53,2017-12-18,259.78606807185304,252.91723797865538,281.74801828980014,259.78606807185304,259.78606807185304,7.7223502520991705,7.7223502520991705,7.7223502520991705,-0.4463827780985827,-0.4463827780985827,-0.4463827780985827,8.168733030197753,8.168733030197753,8.168733030197753,0.0,0.0,0.0,267.5084183239522
54,2017-12-19,259.9108222766302,254.1739478504236,282.3521954446556,259.9108222766302,259.9108222766302,8.15230203393921,8.15230203393921,8.15230203393921,-0.17113078709479915,-0.17113078709479915,-0.17113078709479915,8.323432821034007,8.323432821034007,8.323432821034007,0.0,0.0,0.0,268.06312431056944
55,2017-12-20,260.03557648140736,254.0659521022863,282.1739498486739,260.03557648140736,260.03557648140736,8.32166665140834,8.32166665140834,8.32166665140834,-0.19612461999127825,-0.19612461999127825,-0.19612461999127825,8.517791271399616,8.517791271399616,8.517791271399616,0.0,0.0,0.0,268.3572431328157
56,2017-12-21,260.1603306861845,257.2013266107605,282.7350536628769,260.1603306861845,260.1603306861845,8.493434095962165,8.493434095962165,8.493434095962165,-0.2572979451223287,-0.2572979451223287,-0.2572979451223287,8.750732041084493,8.750732041084493,8.750732041084493,0.0,0.0,0.0,268.6537647821467
57,2017-12-22,260.2850848909617,255.39204465645705,282.1666831205509,260.2850848909617,260.2850848909617,8.711575639232938,8.711575639232938,8.711575639232938,-0.308734321437608,-0.308734321437608,-0.308734321437608,9.020309960670545,9.020309960670545,9.020309960670545,0.0,0.0,0.0,268.9966605301946
58,2017-12-26,260.78410171007033,256.46923283675784,283.8808876824144,260.78410171007033,260.78410171007033,10.226782668032888,10.226782668032888,10.226782668032888,-0.17113078709415877,-0.17113078709415877,-0.17113078709415877,10.397913455127046,10.397913455127046,10.397913455127046,0.0,0.0,0.0,271.01088437810324
59,2017-12-27,260.9088559148475,258.1466759917252,286.32195267151786,260.9088559148475,260.9088559148475,10.598160977272137,10.598160977272137,10.598160977272137,-0.19612461999143804,-0.19612461999143804,-0.19612461999143804,10.794285597263574,10.794285597263574,10.794285597263574,0.0,0.0,0.0,271.5070168921196
60,2017-12-28,261.03361011962465,258.05601944174686,285.322688726562,261.03361011962465,261.03361011962465,10.943104244854766,10.943104244854766,10.943104244854766,-0.2572979451220151,-0.2572979451220151,-0.2572979451220151,11.200402189976781,11.200402189976781,11.200402189976781,0.0,0.0,0.0,271.97671436447945
61,2017-12-29,261.15836432440176,257.79713992373286,286.18674893883644,261.15836432440176,261.15836432440176,11.301379675179353,11.301379675179353,11.301379675179353,-0.30873432143792623,-0.30873432143792623,-0.30873432143792623,11.610113996617281,11.610113996617281,11.610113996617281,0.0,0.0,0.0,272.4597439995811
62,2018-01-02,261.65738114351046,261.0090756776077,288.986925083748,261.65738114351046,261.65738114351046,12.988594489660478,12.988594489660478,12.988594489660478,-0.17113078709492466,-0.17113078709492466,-0.17113078709492466,13.159725276755402,13.159725276755402,13.159725276755402,0.0,0.0,0.0,274.64597563317096
63,2018-01-03,261.7821353482876,260.6485611875614,288.7549418734071,261.7821353482876,261.7821353482876,13.298819688529315,13.298819688529315,13.298819688529315,-0.1961246199914111,-0.1961246199914111,-0.1961246199914111,13.494944308520726,13.494944308520726,13.494944308520726,0.0,0.0,0.0,275.08095503681693
64,2018-01-04,261.9068895530648,261.1747206220311,288.73503920839806,261.9068895530648,261.9068895530648,13.54137493623717,13.54137493623717,13.54137493623717,-0.25729794512248055,-0.25729794512248055,-0.25729794512248055,13.798672881359652,13.798672881359652,13.798672881359652,0.0,0.0,0.0,275.44826448930195
65,2018-01-05,262.03164375784195,261.6104189646321,290.11077706079,262.03164375784195,262.03164375784195,13.757883904514907,13.757883904514907,13.757883904514907,-0.30873432143710106,-0.30873432143710106,-0.30873432143710106,14.06661822595201,14.06661822595201,14.06661822595201,0.0,0.0,0.0,275.7895276623569
66,2018-01-08,262.40590637217343,263.52735746711437,290.54395484261346,262.40590637217343,262.40590637217343,14.178170448531343,14.178170448531343,14.178170448531343,-0.44638277809922333,-0.44638277809922333,-0.44638277809922333,14.624553226630567,14.624553226630567,14.624553226630567,0.0,0.0,0.0,276.58407682070475
67,2018-01-09,262.53066057695054,263.4379006650639,290.80996869186356,262.53066057695054,262.53066057695054,14.551420843204802,14.551420843204802,14.551420843204802,-0.17113078709480165,-0.17113078709480165,-0.17113078709480165,14.722551630299604,14.722551630299604,14.722551630299604,0.0,0.0,0.0,277.08208142015536
