,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2017-10-17,5.390023942028986,3.375741858996499,7.30322091586079,5.390023942028986,5.390023942028986,0.09262685437338282,0.09262685437338282,0.09262685437338282,0.8372989878924894,0.8372989878924894,0.8372989878924894,-0.7446721335191065,-0.7446721335191065,-0.7446721335191065,0.0,0.0,0.0,5.4826507964023685
11,2017-10-18,5.386216652173913,3.598375606083682,7.406318950097748,5.386216652173913,5.386216652173913,0.13368173436697178,0.13368173436697178,0.13368173436697178,0.9268258633466929,0.9268258633466929,0.9268258633466929,-0.7931441289797212,-0.7931441289797212,-0.7931441289797212,0.0,0.0,0.0,5.519898386540885
12,2017-10-19,5.382409362318841,3.692482230591715,7.408799806855482,5.382409362318841,5.382409362318841,0.06158692571541927,0.06158692571541927,0.06158692571541927,0.8932125999991896,0.8932125999991896,0.8932125999991896,-0.8316256742837702,-0.8316256742837702,-0.8316256742837702,0.0,0.0,0.0,5.44399628803426
13,2017-10-20,5.378602072463768,3.414461275706339,7.347026271998482,5.378602072463768,5.378602072463768,-0.021169699128699405,-0.021169699128699405,-0.021169699128699405,0.8378235571423278,0.8378235571423278,0.8378235571423278,-0.8589932562710272,-0.8589932562710272,-0.8589932562710272,0.0,0.0,0.0,5.357432373335069
14,2017-10-23,5.367180202898551,3.3564371627562823,7.284080256610256,5.367180202898551,5.367180202898551,-0.017140304349986292,-0.017140304349986292,-0.017140304349986292,0.8483996958661152,0.8483996958661152,0.8483996958661152,-0.8655400002161016,-0.8655400002161016,-0.8655400002161016,0.0,0.0,0.0,5.350039898548564
15,2017-10-24,5.363372913043478,3.2223065704927536,7.301194939972146,5.363372913043478,5.363372913043478,-0.0031836801867260317,-0.0031836801867260317,-0.0031836801867260317,0.8372989878943532,0.8372989878943532,0.8372989878943532,-0.8404826680810792,-0.8404826680810792,-0.8404826680810792,0.0,0.0,0.0,5.360189232856752
16,2017-10-25,5.359565623188406,3.404340282835392,7.564970210063649,5.359565623188406,5.359565623188406,0.12555137231133057,0.12555137231133057,0.12555137231133057,0.9268258633467061,0.9268258633467061,0.9268258633467061,-0.8012744910353756,-0.8012744910353756,-0.8012744910353756,0.0,0.0,0.0,5.4851169954997365
17,2017-10-26,5.355758333333334,3.5601456691646343,7.400488154344348,5.355758333333334,5.355758333333334,0.1453002823434585,0.1453002823434585,0.1453002823434585,0.8932126000013358,0.8932126000013358,0.8932126000013358,-0.7479123176578775,-0.7479123176578775,-0.7479123176578775,0.0,0.0,0.0,5.501058615676793
18,2017-10-27,5.351951043478261,3.573167383518901,7.307694322968402,5.351951043478261,5.351951043478261,0.15721467545030254,0.15721467545030254,0.15721467545030254,0.8378235571424544,0.8378235571424544,0.8378235571424544,-0.6806088816921518,-0.6806088816921518,-0.6806088816921518,0.0,0.0,0.0,5.509165718928563
19,2017-10-30,5.340529173913044,3.8598907101334574,7.652279659479028,5.340529173913044,5.340529173913044,0.4480232132790478,0.4480232132790478,0.4480232132790478,0.8483996958593965,0.8483996958593965,0.8483996958593965,-0.40037648258034864,-0.40037648258034864,-0.40037648258034864,0.0,0.0,0.0,5.788552387192092
20,2017-10-31,5.336721884057971,3.93844281554187,7.7485085723277365,5.336721884057971,5.336721884057971,0.5536457358161228,0.5536457358161228,0.5536457358161228,0.8372989878935435,0.8372989878935435,0.8372989878935435,-0.28365325207742065,-0.28365325207742065,-0.28365325207742065,0.0,0.0,0.0,5.890367619874094
21,2017-11-01,5.332914594202899,4.203047780429273,8.111438728936228,5.332914594202899,5.332914594202899,0.7696837063788258,0.7696837063788258,0.7696837063788258,0.9268258633467193,0.9268258633467193,0.9268258633467193,-0.15714215696789358,-0.15714215696789358,-0.15714215696789358,0.0,0.0,0.0,6.102598300581725
22,2017-11-02,5.3291073043478265,4.291474570665096,8.204869036570692,5.3291073043478265,5.3291073043478265,0.8709981539614908,0.8709981539614908,0.8709981539614908,0.8932126000008608,0.8932126000008608,0.8932126000008608,-0.022214446039370048,-0.022214446039370048,-0.022214446039370048,0.0,0.0,0.0,6.200105458309317
23,2017-11-03,5.325300014492753,4.3270944154248365,8.381020147487677,5.325300014492753,5.325300014492753,0.95744223005117,0.95744223005117,0.95744223005117,0.8378235571425232,0.8378235571425232,0.8378235571425232,0.1196186729086467,0.1196186729086467,0.1196186729086467,0.0,0.0,0.0,6.282742244543924
24,2017-11-06,5.313878144927536,4.800761651371347,8.588914272896014,5.313878144927536,5.313878144927536,1.4182240964615391,1.4182240964615391,1.4182240964615391,0.8483996958615015,0.8483996958615015,0.8483996958615015,0.5698244006000377,0.5698244006000377,0.5698244006000377,0.0,0.0,0.0,6.732102241389075
25,2017-11-07,5.310070855072464,4.910622394737846,8.84755731381149,5.310070855072464,5.310070855072464,1.5594921683371215,1.5594921683371215,1.5594921683371215,0.8372989878939222,0.8372989878939222,0.8372989878939222,0.7221931804431991,0.7221931804431991,0.7221931804431991,0.0,0.0,0.0,6.869563023409586
26,2017-11-08,5.3062635652173915,4.965473873024351,9.138714167595781,5.3062635652173915,5.3062635652173915,1.7994849509463609,1.7994849509463609,1.7994849509463609,0.9268258633467328,0.9268258633467328,0.9268258633467328,0.872659087599628,0.872659087599628,0.872659087599628,0.0,0.0,0.0,7.105748516163752
27,2017-11-09,5.302456275362319,5.294406168537549,9.105763830786888,5.302456275362319,5.302456275362319,1.9126101532238482,1.9126101532238482,1.9126101532238482,0.8932125999989062,0.8932125999989062,0.8932125999989062,1.0193975532249422,1.0193975532249422,1.0193975532249422,0.0,0.0,0.0,7.215066428586168
28,2017-11-10,5.2986489855072465,5.378156463034715,9.26312150767451,5.2986489855072465,5.2986489855072465,1.9984512953064952,1.9984512953064952,1.9984512953064952,0.83782355714265,0.83782355714265,0.83782355714265,1.1606277381638452,1.1606277381638452,1.1606277381638452,0.0,0.0,0.0,7.2971002808137415
29,2017-11-13,5.287227115942029,5.853265332606654,9.739224028136809,5.287227115942029,5.287227115942029,2.3830730401390543,2.3830730401390543,2.3830730401390543,0.8483996958613971,0.8483996958613971,0.8483996958613971,1.5346733442776568,1.5346733442776568,1.5346733442776568,0.0,0.0,0.0,7.670300156081083
30,2017-11-14,5.2834198260869565,5.891885939769262,9.872841097531612,5.2834198260869565,5.2834198260869565,2.4751505088593526,2.4751505088593526,2.4751505088593526,0.8372989878934084,0.8372989878934084,0.8372989878934084,1.6378515209659443,1.6378515209659443,1.6378515209659443,0.0,0.0,0.0,7.7585703349463095
31,2017-11-15,5.279612536231885,6.0826783539655525,9.973652490056656,5.279612536231885,5.279612536231885,2.6549908804951743,2.6549908804951743,2.6549908804951743,0.9268258633467349,0.9268258633467349,0.9268258633467349,1.7281650171484395,1.7281650171484395,1.7281650171484395,0.0,0.0,0.0,7.934603416727059
