,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-10-03,250.304748564288,229.9635412796712,259.05389517796687,250.304748564288,250.304748564288,-5.86063375910346,-5.86063375910346,-5.86063375910346,-0.17113078709555485,-0.17113078709555485,-0.17113078709555485,-5.689502972007905,-5.689502972007905,-5.689502972007905,0.0,0.0,0.0,244.44411480518454
1,2017-10-04,250.42950276809145,231.23452438394656,259.7492598923847,250.42950276809145,250.42950276809145,-5.781674509956978,-5.781674509956978,-5.781674509956978,-0.19612461999173222,-0.19612461999173222,-0.19612461999173222,-5.585549889965245,-5.585549889965245,-5.585549889965245,0.0,0.0,0.0,244.64782825813447
2,2017-10-05,250.55425697189497,231.1062468000561,258.90581550502395,250.55425697189497,250.55425697189497,-5.71969694481222,-5.71969694481222,-5.71969694481222,-0.2572979451227306,-0.2572979451227306,-0.2572979451227306,-5.46239899968949,-5.46239899968949,-5.46239899968949,0.0,0.0,0.0,244.83456002708274
3,2017-10-06,250.67901117569846,230.83788865396778,259.3539870769071,250.67901117569846,250.67901117569846,-5.629482954164505,-5.629482954164505,-5.629482954164505,-0.3087343214366204,-0.3087343214366204,-0.3087343214366204,-5.320748632727884,-5.320748632727884,-5.320748632727884,0.0,0.0,0.0,245.04952822153396
4,2017-10-09,251.05327378710896,231.77422345892288,259.52741661330265,251.05327378710896,251.05327378710896,-5.239835223667771,-5.239835223667771,-5.239835223667771,-0.44638277809961785,-0.44638277809961785,-0.44638277809961785,-4.793452445568153,-4.793452445568153,-4.793452445568153,0.0,0.0,0.0,245.8134385634412
5,2017-10-10,251.17802799091243,231.48016162665527,259.1682761172024,251.17802799091243,251.17802799091243,-4.7581074533244045,-4.7581074533244045,-4.7581074533244045,-0.17113078709543203,-0.17113078709543203,-0.17113078709543203,-4.586976666228972,-4.586976666228972,-4.586976666228972,0.0,0.0,0.0,246.419920537588
6,2017-10-11,251.30278219471595,232.89153671287016,260.2472132259841,251.30278219471595,251.30278219471595,-4.5631996437696305,-4.5631996437696305,-4.5631996437696305,-0.1961246199914038,-0.1961246199914038,-0.1961246199914038,-4.367075023778227,-4.367075023778227,-4.367075023778227,0.0,0.0,0.0,246.73958255094632
7,2017-10-12,251.4275363985194,233.48339557300142,260.51400836151487,251.4275363985194,251.4275363985194,-4.392309611406373,-4.392309611406373,-4.392309611406373,-0.25729794512319604,-0.25729794512319604,-0.25729794512319604,-4.135011666283177,-4.135011666283177,-4.135011666283177,0.0,0.0,0.0,247.03522678711303
8,2017-10-13,251.5522906023229,232.81363690535395,261.3581582661239,251.5522906023229,251.5522906023229,-4.200830194292685,-4.200830194292685,-4.200830194292685,-0.3087343214373507,-0.3087343214373507,-0.3087343214373507,-3.892095872855334,-3.892095872855334,-3.892095872855334,0.0,0.0,0.0,247.35146040803022
9,2017-10-16,251.9265532137334,234.33230400679082,261.16952840530337,251.9265532137334,251.9265532137334,-3.557902439125167,-3.557902439125167,-3.557902439125167,-0.4463827780994977,-0.4463827780994977,-0.4463827780994977,-3.1115196610256692,-3.1115196610256692,-3.1115196610256692,0.0,0.0,0.0,248.36865077460823
10,2017-10-17,252.05130741753686,235.1013251898799,262.24710698743354,252.05130741753686,252.05130741753686,-3.0094966712796962,-3.0094966712796962,-3.0094966712796962,-0.17113078709479163,-0.17113078709479163,-0.17113078709479163,-2.8383658841849044,-2.8383658841849044,-2.8383658841849044,0.0,0.0,0.0,249.04181074625717
11,2017-10-18,252.17606162134038,234.95637463362434,262.7249480199137,252.17606162134038,252.17606162134038,-2.7568629995524843,-2.7568629995524843,-2.7568629995524843,-0.19612461999156364,-0.19612461999156364,-0.19612461999156364,-2.5607383795609207,-2.5607383795609207,-2.5607383795609207,0.0,0.0,0.0,249.4191986217879
12,2017-10-19,252.30081582514384,236.32751153267992,263.461870075778,252.30081582514384,252.30081582514384,-2.536994125888287,-2.536994125888287,-2.536994125888287,-0.25729794512208054,-0.25729794512208054,-0.25729794512208054,-2.279696180766207,-2.279696180766207,-2.279696180766207,0.0,0.0,0.0,249.76382169925554
13,2017-10-20,252.4255700289474,236.35487188406975,264.1819207213011,252.4255700289474,252.4255700289474,-2.3049017900836213,-2.3049017900836213,-2.3049017900836213,-0.30873432143808105,-0.30873432143808105,-0.30873432143808105,-1.99616746864554,-1.99616746864554,-1.99616746864554,0.0,0.0,0.0,250.12066823886377
14,2017-10-23,252.79983264035783,236.37188132370702,263.8246146708289,252.79983264035783,252.79983264035783,-1.5839568309252128,-1.5839568309252128,-1.5839568309252128,-0.44638277810014526,-0.44638277810014526,-0.44638277810014526,-1.1375740528250675,-1.1375740528250675,-1.1375740528250675,0.0,0.0,0.0,251.21587580943262
15,2017-10-24,252.9245868441613,238.19808626804473,265.95847582468923,252.9245868441613,252.9245868441613,-1.0212564514309412,-1.0212564514309412,-1.0212564514309412,-0.17113078709555735,-0.17113078709555735,-0.17113078709555735,-0.8501256643353838,-0.8501256643353838,-0.8501256643353838,0.0,0.0,0.0,251.90333039273037
16,2017-10-25,253.04934104796482,238.08543299133078,266.2429354293289,253.04934104796482,253.04934104796482,-0.7584199732827109,-0.7584199732827109,-0.7584199732827109,-0.19612461999153666,-0.19612461999153666,-0.19612461999153666,-0.5622953532911743,-0.5622953532911743,-0.5622953532911743,0.0,0.0,0.0,252.2909210746821
17,2017-10-26,253.1740952517683,239.2009402313644,265.7122732661433,253.1740952517683,253.1740952517683,-0.5312503600428139,-0.5312503600428139,-0.5312503600428139,-0.2572979451233479,-0.2572979451233479,-0.2572979451233479,-0.2739524149194661,-0.2739524149194661,-0.2739524149194661,0.0,0.0,0.0,252.6428448917255
18,2017-10-27,253.29884945557183,238.56623641162565,266.94470169707705,253.29884945557183,253.29884945557183,-0.29352979325876255,-0.29352979325876255,-0.29352979325876255,-0.30873432143839935,-0.30873432143839935,-0.30873432143839935,0.015204528179636821,0.015204528179636821,0.015204528179636821,0.0,0.0,0.0,253.00531966231307
19,2017-10-30,253.67311206698227,240.8089408064928,268.20548979623885,253.67311206698227,253.67311206698227,0.446317770807354,0.446317770807354,0.446317770807354,-0.44638277809818894,-0.44638277809818894,-0.44638277809818894,0.892700548905543,0.892700548905543,0.892700548905543,0.0,0.0,0.0,254.11942983778962
20,2017-10-31,253.79786627078573,240.5996991190194,268.79860761481257,253.79786627078573,253.79786627078573,1.0196330129323563,1.0196330129323563,1.0196330129323563,-0.1711307870951757,-0.1711307870951757,-0.1711307870951757,1.190763800027532,1.190763800027532,1.190763800027532,0.0,0.0,0.0,254.8174992837181
